setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
hmpopey,Hangly-Man (Popeye) [hb],,Popeye,yes,Pac-Man,,,yes,no,1981,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hangly,Hangly-Man (Set 1) [hb],,Set 1,yes,Pac-Man,,,yes,no,1981,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hanglyad,Hangly-Man After Dark (Set 1) [hb],,Set 1,yes,Pac-Man,,,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hvymetal,Heavy Metal (315-5135),,315-5135,no,,Sega System 1,,no,no,1985,Sega,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,2,
horizon,Horizon (Irem),,,no,,Irem M62,,no,no,1985,Irem,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
housepty,House Party [hb],,,yes,Mappy,,,yes,no,1983,Jerky,Maze,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
hyperspc,Hyperspace (bootleg of Asteroids) [bl],,,yes,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
imsorry,"I'm Sorry (US, 315-5110)",USA,315-5110,no,,Sega System 1,,no,no,1985,Sega,Maze,,horizontal,,15kHz,,2 (alternating),8-way,,2,
scrambp,Impacto (Scramble) [bl],,Scramble,yes,Scramble,,,no,yes,1981,Konami,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,2,
ironhors,Iron Horse (Ver. K),,,no,,,,no,no,1986,Konami,Run 'n' Gun - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,3,
jackalr,"Jackal (W, Rotary)",World,Rotary,yes,Jackal,,,no,no,1986,Konami,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,rotary,4,
jackal,Jackal (W),World,,yes,Jackal,,,no,no,1986,Konami,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,2,
jackalbl,Jackal (W) [bl],World,,yes,Jackal,,,no,yes,1986,Konami,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,2,
jacman,Jacman [hb],,,yes,Pac-Man,,,yes,no,1980,Brent Cobb,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
jailbrek,Jailbreak,World,,no,,,,no,no,1986,Konami,Run 'n' Gun - Horizontal,,horizontal,yes,15kHz,,2 (alternating),8-way,,2,
jin,Jin,,,no,,,,no,no,1982,Falcon,Puzzle,,vertical (cw),no,15kHz,,1,8-way,,2,
journey,Journey,,,no,,Midway MCR3,,no,no,1984,Bally / Midway,Arena,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
joust,Joust,,,no,,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,2 (simultaneous),2-way horizontal,,1,
joustr,Joust (Solid Red Label),,Solid Red Label,yes,Joust,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,2 (simultaneous),2-way horizontal,,1,
joustwr,Joust (White-Red Label),,White-Red Label,yes,Joust,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,2 (simultaneous),2-way horizontal,,1,
jumpshot,Jump Shot,,,no,,,,no,no,1985,Bally / Midway,Sports,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,1,
jumpshotp,Jump Shot (Engineering Sample),,Engineering Sample,yes,Jump Shot,,,no,no,1985,Bally / Midway,Sports,,vertical (cw),no,15kHz,,2 (simultaneous),8-way,,1,
yanchamr,Kaiketsu Yanchamaru (JP),Japan,,yes,Kid Niki - Radical Ninja,Irem M62,,no,no,1986,Irem,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
kamakazi3,Kamakazi III (Superg) [hb],,Superg,yes,Scramble,,,yes,no,1979,hack,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
kamikazesp,"Kamikaze (Scramble, Spanish) [bl]",,"Scramble, Spanish",yes,Scramble,,,no,yes,1981,Konami,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,0,
kick,Kick,,,no,,Midway MCR1,,no,no,1980,Midway,Ball and Paddle,,vertical (cw),no,15kHz,,1,,trackball,1,
kickc,Kick (Cocktail),,Cocktail,yes,Kick,Midway MCR,,no,no,1981,Midway,Ball and Paddle,,vertical (cw),no,15kHz,,1,2-way horizontal,,0,
kickman,Kick-Man,,,yes,Kick,Midway MCR1,,no,no,1980,Midway,Ball and Paddle,,vertical (cw),no,15kHz,,1,,trackball,1,
kidnikiu,Kid Niki - Radical Ninja (US),USA,,yes,Kid Niki - Radical Ninja,Irem M62,,no,no,1986,Irem,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
kidniki,Kid Niki- Radical Ninja (W),World,,no,,Irem M62,,no,no,1986,Irem,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
killiped,Killipede [hb],,,yes,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
kingballj,King and Balloon,,,no,,,,no,no,1980,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
kingball,King and Balloon (US),USA,,no,,,,no,no,1980,Namco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
konek,Konek Gorbunok,,,no,,TIAMC1,,no,no,1988,Terminal,Platform,,horizontal,,15kHz,,1,4-way,,1,
kot,Kot-Rybolov,,,no,,TIAMC1,,no,no,1988,Terminal,Action,,horizontal,,15kHz,,1,8-way,,2,
kroozr,Kozmik Krooz'r,,,no,,Midway MCR2,,no,no,1983,Bally / Midway,Shooter - Multidirectional,,horizontal,,15kHz,,1,8-way,rotary,1,
kungfub,Kung-Fu Master (Set 1) [bl],,Set 1,yes,Kung-Fu Master,Irem M62,,no,yes,1984,Irem,Beat 'em Up,,horizontal,,15kHz,,2 (alternating),8-way,,2,
kungfub2,Kung-Fu Master (Set 2) [bl],,Set 2,yes,Kung-Fu Master,Irem M62,,no,yes,1984,Irem,Beat 'em Up,,horizontal,,15kHz,,2 (alternating),8-way,,2,
kungfum,Kung-Fu Master (W),World,,no,,Irem M62,,no,no,1984,Irem,Beat 'em Up,,horizontal,,15kHz,,2 (alternating),8-way,,2,
ladybug,Lady Bug,,,no,,,,no,no,1981,Universal,Maze,,vertical (ccw),no,15kHz,,2 (alternating),4-way,,0,
ladybugb,Lady Bug (Set 1) [bl],,Set 1,yes,Lady Bug,,,no,yes,1981,Universal,Maze,,vertical (ccw),no,15kHz,,2 (alternating),4-way,,0,
lagunar,Laguna Racer,,,no,,,,no,no,1977,Midway,Racing,,vertical (cw),yes,15kHz,,1,2-way vertical,spinner,0,
bagnardi,"Le Bagnard (ES, Itisa)",Spain,Itisa,yes,Bagman,,,no,no,1982,Valadon Automation / Itisa,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagnard,Le Bagnard (Set 1),,Set 1,yes,Bagman,,,no,no,1982,Valadon Automation,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagnarda,Le Bagnard (Set 2),,Set 2,yes,Bagman,,,no,no,1982,Valadon Automation,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
lizwiz,Lizard Wizard,,,no,,,,no,no,1985,Techstar / Sunn,Arena,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,1,
ldrun,Lode Runner (Set 1),,Set 1,no,,Irem M62,Lode Runner,no,no,1984,Irem,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
ldruna,Lode Runner (Set 2),,Set 2,yes,Lode Runner,Irem M62,Lode Runner,no,no,1984,Irem / Broderbund,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
ldrun2,Lode Runner II- The Bungeling Strikes Back,,,no,,Irem M62,Lode Runner,no,no,1984,Irem,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
ldrun3j,Lode Runner III- Majin no Fukkatsu (JP),Japan,,yes,Lode Runner III,Irem M62,Lode Runner,no,no,1985,Irem / Broderbund,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
ldrun3,Lode Runner III- The Golden Labyrinth,,,no,,Irem M62,Lode Runner,no,no,1985,Irem,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
ldrun4,Lode Runner IV- Teikoku Karano Dasshutsu (JP),Japan,,no,,Irem M62,Lode Runner,no,no,1986,Irem,Platform - Climb,,horizontal,,15kHz,,2 (simultaneous),8-way,,2,
losttomb,Lost Tomb,,,no,,,,no,no,1982,Stern,Maze,,vertical (cw),yes,15kHz,,1,8-way,twin stick,4,
losttombh,Lost Tomb (Hard),,Hard,yes,Lost Tomb,,,no,no,1982,Stern,Maze,,vertical (cw),no,15kHz,,1,8-way,twin stick,4,
luctoday,Lucky Today,,,no,,,,no,no,1980,Sigma,Gambling,,vertical (ccw),yes,15kHz,,1,2-way vertical,,1,
lunarbat,Lunar Battle (Prototype),,Prototype,no,,,,no,no,1982,Atari,Lander,,horizontal,,31kHz,,1,2-way horizontal,,3,
llander1,Lunar Lander (Rev 1),,Rev 1,yes,Lunar Lander,,,no,no,1979,Atari,Lander,,horizontal,,31kHz,,1,2-way horizontal,,1,
llander,Lunar Lander (Rev 2),,Rev 2,no,,,,no,no,1979,Atari,Lander,,horizontal,,31kHz,,1,2-way horizontal,,1,
lrescue,Lunar Rescue,,,no,,,,no,no,1979,Taito,Lander,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
lupin3a,Lupin III (Set 2),,Set 2,no,,,,no,no,1980,Taito,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
mplanets,Mad Planets,,,no,,,,no,no,1982,Gottlieb,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),8-way,,1,
mandinga,"Mandinga (Amidar, Artemi) [bl]",,"Amidar, Artemi",yes,Amidar,,,no,yes,1982,Konami / Artemi,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
mappyj,Mappy (JP),Japan,,yes,Mappy,,,no,no,1983,Namco,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
mappy,Mappy (US),USA,,no,,,,no,no,1983,Namco,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
mario,"Mario Bros. (US, Rev G)",USA,Rev G,no,,,Mario,no,no,1983,Nintendo,Platform - Climb,,horizontal,,15kHz,,2 (simultaneous),2-way horizontal,,1,
pacmar,Mario Pac-Man [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
marpy,Marpy [hb],,,yes,Mappy,,,yes,no,1983,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
mars,Mars,,,no,,,,no,no,1981,Artic,Shooter - Horizontal,,vertical (cw),yes,15kHz,,2 (alternating),8-way,twin stick,4,
maxrpm,Max RPM (v2),,v2,no,,Midway MCR3,,no,no,1986,Bally / Midway,Racing,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,paddle / pedal,2,
mayday,Mayday (Set 1),,Set 1,no,,,,no,no,1980,Hoei,Shooter - Horizontal,,horizontal,,15kHz,,1,8-way,,3,
maydaya,Mayday (Set 2),,Set 2,yes,Mayday,,,no,no,1980,Hoei,Shooter - Horizontal,,horizontal,,15kHz,,1,8-way,,3,
maydayb,Mayday (Set 3),,Set 3,yes,Mayday,,,no,no,1980,Hoei,Shooter - Horizontal,,horizontal,,15kHz,,1,8-way,,3,
mazeman,Maze Man [hb],,,yes,Pac-Man,,,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
meteorite,"Meteor (Asteroids, Proel) [bl]",,"Asteroids, Proel",yes,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
meteorts,"Meteor (Asteroids, VGG) [bl]",,"Asteroids, VGG",yes,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
meteorho,Meteor (Asteroids) [bl],,Asteroids,yes,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
mimonscr,Mighty Monkey (Scamble Hardware),,Scramble Hardware,no,,,,no,yes,1982,,Shooter - Multidirectional,,vertical (cw),,15kHz,,2 (alternating),8-way,,2,
minefld,Minefield,,,no,,,,no,no,1983,Stern,Shooter - Gallery,,vertical (cw),yes,15kHz,,1,8-way,twin stick,4,
pacmini,Mini Pac-Man [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacmini2,Mini Pac-Man 2 [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
mrviking,Mister Viking (315-5041),,315-5041,no,,Sega System 1,,no,no,1984,Sega,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
moonaln,Moon Alien,,,yes,Galaxian,,,no,no,1979,Namco / Nichibutsu / Karateco,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
mooncrgx,Moon Cresta,,,no,,,,no,yes,1980,,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
mpatrol,Moon Patrol,,,no,,Irem M52,,no,no,1982,Irem,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
mpatrolw,Moon Patrol (Williams),,Williams,yes,Moon Patrol,Irem M52,,no,no,1982,Irem / Williams,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
mranger,Moon Ranger (Moon Patrol) [bl],,Moon Patrol,yes,Moon Patrol,Irem M52,,no,yes,1982,Irem,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
moonwar,Moon War,,,no,,,,no,no,1981,Stern,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,2,
moonwara,Moon War (Older),,Older,yes,Moon War,,,no,no,1981,Stern,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),,spinner,2,
motos,Motos,,,no,,,,no,no,1985,Namco,Arena,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
mototour,MotoTour- Zippy Race (Tecfri license),,,yes,Traverse USA,,,no,no,1983,Irem / Tecfri,Racing,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
mrdonight,Mr. Do Nightmare,,,no,,,Mr. Do,yes,no,1982,Crazy Ivan,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
mrdo,Mr. Do!,,,no,,,Mr. Do,no,no,1982,Universal,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
mrdofix,Mr. Do! Fixed,,,no,,,Mr. Do,no,no,1982,Universal,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
mrgoemon,Mr. Goemon,,,no,,,,no,no,1986,Konami,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
mrtnt,Mr. TNT,,,no,,,,no,no,1983,Techstar / Telko,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
mspacmat,Ms. Pac Attack,,,yes,Ms. Pac-Man,,Pac-Man,no,no,1981,Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
mspacman,Ms. Pac-Man,,,no,,,Pac-Man,no,no,1981,Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
mspacmancr,Ms. Pac-Man (Crush Roller Hardware) [bl],,Crush Roller Hardware,yes,Ms. Pac-Man,,Pac-Man,no,yes,1981,Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
mspacmnf,Ms. Pac-Man (Fast) [hb],,Fast,yes,Ms. Pac-Man,,Pac-Man,yes,no,1981,Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
alibabab,Mustafa and 40 Thieves [bl],,,yes,Alibaba,,,no,yes,1982,,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
myhero,"My Hero (US, not Encrypted)",USA,not Encrypted,no,,Sega System 1,,no,no,1985,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
nadkong,Naked Donkey Kong [hb],,,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
chtpman2,New Puck 2 (Cheat) [hb],,Cheat,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
fstpman2,New Puck 2 (Fast) [hb],,Fast,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
nwpuc2b,New Puck 2 (Set 2) [hb],,Set 2,yes,Pac-Man,,Pac-Man,yes,no,1980,Linear Elect,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
newpuck2,New Puck 2 [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Sir Scotty,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
newpuck3,New Puck 3 [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Marcel Silvius,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
newpuckx,New Puck X,,,yes,Pac-Man,,Pac-Man,no,no,1980,hack,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
chtpuck,New Puck X (Cheat) [hb],,Cheat,yes,Pac-Man,,Pac-Man,yes,no,1980,Deluxe,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
fastpuck,New Puck X (Fast) [hb],,Fast,yes,Pac-Man,,Pac-Man,yes,no,1980,Deluxe,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
nrallyx,New Rally-X,,,no,,,Rally-X,no,no,1981,Namco,Racing,,horizontal,,15kHz,,2 (alternating),4-way,,1,
nrallyxb,New Rally-X [bl],,,yes,Rally-X,,Rally-X,no,yes,1981,Namco,Racing,,horizontal,,15kHz,,2 (alternating),8-way,,1,
nextfase,Next Fase (Phoenix) [bl],,Phoenix,yes,Phoenix,,,no,yes,1981,Petaco S.A.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
ninjakun,Ninjakun Majou no Bouken,,,no,,,,no,no,1984,UPL / Taito,Platform - Climb,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
nobb,Noboranka (Bootleg),,,no,,Sega System 1,,no,no,1986,Sega,Run 'n' Gun - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
offender,Offender [hb],,,yes,Scramble,,,yes,no,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
offensiv,"Offensive (Scramble, Spanish) [bl]",,"Scramble, Spanish",yes,Scramble,,,no,yes,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
omegab,Omega,,,no,,,,no,yes,1981,Nihon,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
omni,Omni,,,yes,Pisces,,,no,no,1982,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
opaopa,"Opa Opa (MC-8123, 317-0042)",,"MC-8123, 317-0042",yes,Opa Opa,Sega System E,,no,no,1987,Sega,Maze,,horizontal,,15kHz,,1,8-way,,2,
opaopan,"Opa Opa (Rev A, unprotected)",,"Rev. A, unprotected",yes,Opa Opa,Sega System E,,no,no,1987,Sega,Maze,,horizontal,,15kHz,,1,8-way,,2,
orbitron,Orbitron,,,no,,,,no,no,1982,Comsoft,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),8-way,,1,
pacnpal,Pac &amp; Pal,,,no,,,Pac-Man,no,no,1983,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pac2600,Pac 2600 (Older) [hb],,Older,yes,Pac-Man,,Pac-Man,yes,no,1980,Bobby Tribble,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pac2600a,Pac 2600 [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Bobby Tribble,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacsnoop,"Pac Snoop (v1.3, Fast) [hb]",,"v1.3, Fast",yes,Pac-Man,,Pac-Man,yes,no,1980,Scott Lawrence,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacm255,Pac-Man (255th Maze Fix) [hb],,255th Maze Fix,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacbaby,Pac-Man (Baby Maze 1) [hb],,Baby Maze 1,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacbaby2,Pac-Man (Baby Maze 2) [hb],,Baby Maze 2,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacbaby3,Pac-Man (Baby Maze 3) [hb],,Baby Maze 3,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
baby4,Pac-Man (Baby Maze 4) [hb],,Baby Maze 4,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacbell,Pac-Man (Bell) [hb],,Bell,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
chtpac,Pac-Man (Cheat) [hb],,Cheat,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pcrunchy,Pac-Man (Crunchy) [hb],,Crunchy,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacelec,Pac-Man (Electric Cowboy) [hb],,Electric Cowboy,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
hearts,Pac-Man (Hearts) [hb],,Hearts,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacjail,Pac-Man (Jail) [hb],,Jail,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacmod,"Pac-Man (Midway, Harder) [hb]",,"Midway, Harder",yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacmanf,"Pac-Man (Midway, Speedup) [hb]",,"Midway, Speedup",yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacman,Pac-Man (Midway),,Midway,no,,,Pac-Man,no,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacmsa1,Pac-Man (Ms. Pac-Man Attack 1) [hb],,Ms. Pac-Man Attack 1,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacmsa2,Pac-Man (Ms. Pac-Man Attack 2) [hb],,Ms. Pac-Man Attack 2,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacmsa3,Pac-Man (Ms. Pac-Man Attack 3) [hb],,Ms. Pac-Man Attack 3,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacmsa4,Pac-Man (Ms. Pac-Man Attack 4) [hb],,Ms. Pac-Man Attack 4,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacms1,Pac-Man (Ms. Pac-Man Maze 1) [hb],,Ms. Pac-Man Maze 1,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacms2,Pac-Man (Ms. Pac-Man Maze 2) [hb],,Ms. Pac-Man Maze 2,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacms3,Pac-Man (Ms. Pac-Man Maze 3) [hb],,Ms. Pac-Man Maze 3,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacms4,Pac-Man (Ms. Pac-Man Maze 4) [hb],,Ms. Pac-Man Maze 4,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacinvis,Pac-Man (Original Inviso) [hb],,Original Inviso,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacfnt,Pac-Man (Pac-Man Font) [hb],,Pac-Man Font,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacmanp,Pac-Man (Patched) [hb],,Patched,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
chtpop,"Pac-Man (Popeye, Cheat) [hb]",,"Popeye, Cheat",yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
fastpop,"Pac-Man (Popeye, Fast) [hb]",,"Popeye, Fast",yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacpopey,Pac-Man (Popeye) [hb],,Popeye,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacshuf,Pac-Man (Shuffle) [hb],,Shuffle,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
namcosil,"Pac-Man (Sil Hack, Cheat) [hb]",,"Sil Hack, Cheat",yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
